,favorite,predicted,winner,odds_1,odds_x,odds_2,prob_1,prob_x,prob_2
0,Home,Home,Home,1.98,8.11,2.18,0.47107258439064026,0.13417991995811462,0.3947475552558899
1,Away,Away,Home,2.14,8.78,1.93,0.44016391038894653,0.1137680783867836,0.4460679590702057
2,Home,Home,Draw,1.92,8.91,2.13,0.48265886306762695,0.10783545672893524,0.4095057249069214
3,Home,Home,Home,1.06,16.37,11.58,0.9564700722694397,0.006382666062563658,0.03714730590581894
4,Home,Home,Home,1.3,10.5,4.25,0.741836667060852,0.0728006511926651,0.18536268174648285
5,Home,Home,Home,1.14,9.99,5.88,0.8009129762649536,0.06570329517126083,0.13338375091552734
6,Home,Home,Home,1.09,15.51,8.03,0.923085629940033,0.013817797414958477,0.0630965530872345
7,Home,Home,Draw,1.35,10.33,3.86,0.7077524662017822,0.07592535763978958,0.21632210910320282
8,Home,Home,Draw,1.48,10.27,2.96,0.6197442412376404,0.07502004504203796,0.30523574352264404
9,Home,Home,Home,1.94,8.84,2.1,0.47697776556015015,0.1097785085439682,0.4132436513900757
10,Away,Away,Home,6.27,12.61,1.18,0.1632079780101776,0.06620246917009354,0.7705894708633423
11,Home,Home,Away,1.29,10.2,4.64,0.758941113948822,0.07804141938686371,0.16301752626895905
12,Home,Home,Home,1.03,20.3,16.07,0.9832876920700073,0.0011248457012698054,0.015587476082146168
13,Home,Home,Home,1.58,9.19,2.8,0.5830675363540649,0.09995440393686295,0.3169781267642975
14,Home,Home,Home,1.79,8.18,2.45,0.5158162713050842,0.130413219332695,0.35377055406570435
15,Home,Home,Away,1.21,12.16,5.71,0.8368488550186157,0.04327980801463127,0.11987139284610748
16,Home,Home,Home,1.89,8.74,2.16,0.48655053973197937,0.11214536428451538,0.40130409598350525
17,Away,Away,Home,3.93,9.71,1.37,0.26910680532455444,0.10943633317947388,0.6214568018913269
18,Home,Home,Home,1.43,9.5,3.56,0.6663247346878052,0.09436554461717606,0.23930972814559937
19,Home,Home,Home,1.02,19.85,17.27,0.9834194183349609,0.0009241802035830915,0.015656424686312675
20,Home,Home,Draw,1.31,10.35,3.84,0.7098104357719421,0.0744391605257988,0.2157503366470337
21,Home,Home,Away,1.19,12.19,5.87,0.8433289527893066,0.041852619498968124,0.1148184984922409
22,Home,Home,Home,1.24,12.35,4.67,0.7904784083366394,0.044255971908569336,0.16526564955711365
23,Home,Home,Away,1.43,9.84,3.53,0.6687169671058655,0.08645264059305191,0.24483032524585724
24,Away,Away,Away,3.54,10.69,1.38,0.28671425580978394,0.08164218813180923,0.631643533706665
25,Home,Home,Home,1.4,9.74,3.56,0.6724349856376648,0.08798979967832565,0.23957525193691254
26,Home,Home,Home,1.28,9.99,3.89,0.7113867998123169,0.0809750109910965,0.20763817429542542
27,Away,Away,Home,2.54,8.96,1.69,0.380686491727829,0.11377692967653275,0.5055366158485413
28,Home,Home,Away,1.37,9.84,3.94,0.7054057121276855,0.08692769706249237,0.2076665759086609
