,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,Odds_1,Odds_x,Odds_2,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
0,Elitserien 2004/2005,2004-09-22,Tumba,Lund,28,27,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.78,8.71,2.27,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
1,Elitserien 2004/2005,2004-09-22,Savehof,Guif,28,26,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.21,10.43,5.12,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
2,Elitserien 2004/2005,2004-09-22,Lugi,Heid,31,27,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.22,10.43,5.12,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
3,Elitserien 2004/2005,2004-09-22,Kroppskultur,Redbergslids,25,25,D,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,2.91,9.48,1.5,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
4,Elitserien 2004/2005,2004-09-22,Drott,Vasteras Irsta HF,31,24,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.08,11.79,8.66,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
5,Elitserien 2004/2005,2004-09-22,Skovde,Hammarby,42,36,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.2,9.99,5.35,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
6,Elitserien 2004/2005,2004-09-22,Djurgardens,IFK Ystads,23,29,A,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,2.7,9.32,1.58,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
7,Elitserien 2004/2005,2004-09-25,Heid,Savehof,24,34,A,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,7.02,11.0,1.12,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
8,Elitserien 2004/2005,2004-09-26,IFK Ystads,Lugi,32,26,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.4,9.84,3.22,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
9,Elitserien 2004/2005,2004-09-27,Redbergslids,Tumba,27,25,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.25,10.34,4.47,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
10,Elitserien 2004/2005,2004-09-27,Guif,Drott,29,26,H,26,31,28,24,0.0,1.0,L,M,M,M,M,W,M,M,M,M,1.65,8.45,2.51,2.0,LMMMM,WMMMM,0,2,0,0,0,0,0,0,0,0,-1.0,3.5,-1.0,-2
11,Elitserien 2004/2005,2004-09-27,Vasteras Irsta HF,Kroppskultur,27,20,H,24,25,31,25,0.0,0.5,L,M,M,M,M,D,M,M,M,M,2.37,8.7,1.7,2.0,LMMMM,DMMMM,0,1,0,0,0,0,0,0,0,0,-3.5,0.0,-0.5,-1
12,Elitserien 2004/2005,2004-09-27,Lund,Skovde,21,27,A,27,42,28,36,0.0,1.0,L,M,M,M,M,W,M,M,M,M,2.95,9.15,1.47,2.0,LMMMM,WMMMM,0,2,0,0,0,0,0,0,0,0,-0.5,3.0,-1.0,-2
13,Elitserien 2004/2005,2004-09-29,Djurgardens,Lund,20,22,A,23,27,29,28,0.0,0.0,L,M,M,M,M,L,M,M,M,M,1.83,8.96,2.16,2.0,LMMMM,LMMMM,0,0,0,0,0,0,0,0,0,0,-3.0,-0.5,0.0,0
14,Elitserien 2004/2005,2004-09-29,Drott,Heid,29,23,H,31,27,24,31,1.0,0.0,W,M,M,M,M,L,M,M,M,M,1.08,13.33,8.68,2.0,WMMMM,LMMMM,2,0,0,0,0,0,0,0,0,0,3.5,-2.0,1.0,2
15,Elitserien 2004/2005,2004-09-29,Guif,Vasteras Irsta HF,34,23,H,26,24,28,31,0.0,0.0,L,M,M,M,M,L,M,M,M,M,1.13,10.66,6.58,2.0,LMMMM,LMMMM,0,0,0,0,0,0,0,0,0,0,-1.0,-3.5,0.0,0
16,Elitserien 2004/2005,2004-09-29,Lugi,Hammarby,23,29,A,31,36,27,42,1.0,0.0,W,M,M,M,M,L,M,M,M,M,1.44,9.92,3.13,2.0,WMMMM,LMMMM,2,0,0,0,0,0,0,0,0,0,2.0,-3.0,1.0,2
17,Elitserien 2004/2005,2004-09-29,Savehof,IFK Ystads,32,36,A,28,29,26,23,1.0,1.0,W,M,M,M,M,W,M,M,M,M,1.34,10.25,3.68,2.0,WMMMM,WMMMM,2,2,0,0,0,0,0,0,0,0,1.0,3.0,0.0,0
18,Elitserien 2004/2005,2004-09-29,Skovde,Redbergslids,29,23,H,42,25,36,25,1.0,0.5,W,M,M,M,M,D,M,M,M,M,1.48,9.99,2.9,2.0,WMMMM,DMMMM,2,1,0,0,0,0,0,0,0,0,3.0,0.0,0.5,1
19,Elitserien 2004/2005,2004-09-29,Tumba,Kroppskultur,23,30,A,28,25,27,25,1.0,0.5,W,M,M,M,M,D,M,M,M,M,1.58,9.68,2.64,2.0,WMMMM,DMMMM,2,1,0,0,0,0,0,0,0,0,0.5,0.0,0.5,1
20,Elitserien 2004/2005,2004-10-01,Hammarby,Djurgardens,35,24,H,65,43,65,51,0.6666666666666666,0.0,W,L,M,M,M,L,L,M,M,M,1.44,9.35,3.18,3.0,WLMMM,LLMMM,2,0,0,0,0,0,0,0,0,0,0.0,-2.6666666666666665,0.6666666666666666,2
21,Elitserien 2004/2005,2004-10-03,Kroppskultur,Skovde,34,30,H,45,69,52,57,0.3333333333333333,1.3333333333333333,L,D,M,M,M,W,W,M,M,M,4.09,10.3,1.28,3.0,LDMMM,WWMMM,1,4,0,0,0,0,0,0,0,0,-2.3333333333333335,4.0,-1.0,-3
22,Elitserien 2004/2005,2004-10-03,IFK Ystads,Drott,24,31,A,61,57,49,53,1.3333333333333333,0.6666666666666666,W,W,M,M,M,L,W,M,M,M,1.41,9.78,3.25,3.0,WWMMM,LWMMM,4,2,0,0,0,0,0,0,0,0,4.0,1.3333333333333333,0.6666666666666666,2
23,Elitserien 2004/2005,2004-10-03,Heid,Guif,27,28,A,51,55,65,54,0.0,0.6666666666666666,L,L,M,M,M,W,L,M,M,M,4.66,10.87,1.24,3.0,LLMMM,WLMMM,0,2,0,0,0,0,0,0,0,0,-4.666666666666667,0.3333333333333333,-0.6666666666666666,-2
24,Elitserien 2004/2005,2004-10-04,Lund,Lugi,18,24,A,48,57,55,59,0.0,0.6666666666666666,L,L,M,M,M,L,W,M,M,M,2.11,8.95,1.91,3.0,LLMMM,LWMMM,0,2,0,0,0,0,0,0,0,0,-2.3333333333333335,-0.6666666666666666,-0.6666666666666666,-2
25,Elitserien 2004/2005,2004-10-04,Vasteras Irsta HF,Tumba,31,33,A,51,53,51,54,0.6666666666666666,0.6666666666666666,W,L,M,M,M,L,W,M,M,M,1.97,8.55,2.06,3.0,WLMMM,LWMMM,2,2,0,0,0,0,0,0,0,0,0.0,-0.3333333333333333,0.0,0
26,Elitserien 2004/2005,2004-10-04,Hammarby,Savehof,36,29,H,65,62,65,50,0.6666666666666666,1.3333333333333333,W,L,M,M,M,W,W,M,M,M,2.87,9.42,1.53,3.0,WLMMM,WWMMM,2,4,0,0,0,0,0,0,0,0,0.0,4.0,-0.6666666666666666,-2
27,Elitserien 2004/2005,2004-10-05,Redbergslids,Djurgardens,28,22,H,52,43,50,51,1.0,0.0,W,D,M,M,M,L,L,M,M,M,1.15,10.99,6.24,3.0,WDMMM,LLMMM,3,0,0,0,0,0,0,0,0,0,0.6666666666666666,-2.6666666666666665,1.0,3
28,Elitserien 2004/2005,2004-10-06,Skovde,Tumba,35,27,H,69,53,57,54,1.3333333333333333,0.6666666666666666,W,W,M,M,M,L,W,M,M,M,1.1,11.39,7.37,3.0,WWMMM,LWMMM,4,2,0,0,0,0,0,0,0,0,4.0,-0.3333333333333333,0.6666666666666666,2
29,Elitserien 2004/2005,2004-10-06,Savehof,Lund,34,13,H,62,48,50,55,1.3333333333333333,0.0,W,W,M,M,M,L,L,M,M,M,1.17,10.99,5.39,3.0,WWMMM,LLMMM,4,0,0,0,0,0,0,0,0,0,4.0,-2.3333333333333335,1.3333333333333333,4
30,Elitserien 2004/2005,2004-10-06,Drott,Hammarby,28,24,H,86,100,76,89,1.0,1.0,W,L,W,M,M,W,W,L,M,M,1.46,10.12,3.03,4.0,WLWMM,WWLMM,4,4,0,0,0,0,0,0,0,0,2.5,2.75,0.0,0
